Clinton,Trump,Clinton Adjusted,Trump Adjusted,Electoral Votes
20.76285714285714,55.39285714285713,27.216250714285717,63.46272785714286,67.0
35.5,53.25,34.36135500000001,53.87164583333334,67.0
30.042666666666662,36.06466666666666,36.721634,44.674681333333325,29.0
33.75,45.666666666666664,32.70103083333333,46.57718166666667,29.0
37.91642857142857,33.035714285714285,44.59873571428572,41.57607214285714,15.0
42.46153846153846,42.69230769230769,41.38260461538462,43.66886769230769,15.0
31.485714285714284,40.667142857142856,38.09430285714286,49.05598642857143,75.0
35.333333333333336,53.0,34.23905666666667,53.76456666666667,75.0
45.675000000000004,26.999285714285715,52.34430357142857,35.51291714285714,58.0
54.214285714285715,29.785714285714285,53.54390357142858,31.103639285714287,58.0
40.313571428571436,27.163571428571426,47.051364285714286,35.81797214285715,64.0
43.23076923076923,38.84615384615385,42.16780076923077,39.87955615384616,64.0
41.69785714285714,28.692857142857147,48.46681999999999,37.41131857142857,8.0
50.583333333333336,37.083333333333336,49.53490333333334,37.99558916666666,8.0
37.368571428571435,28.645,44.00091714285715,37.08267357142857,3.0
50.083333333333336,36.416666666666664,48.995846666666665,37.2031125,3.0
53.28642857142857,18.916428571428572,60.249845,28.034551428571433,1.0
87.0,5.181818181818182,85.66991181818182,5.795300363636364,1.0
34.32571428571429,40.43142857142857,40.961510714285716,48.876190714285705,67.0
46.15384615384615,44.23076923076923,45.061528461538465,45.159683846153854,67.0
30.948571428571427,41.996428571428574,37.42860571428572,50.12105642857143,159.0
44.0,44.76923076923077,42.86286692307692,45.53858692307693,159.0
47.00857142857143,24.607857142857142,53.83567285714286,33.44580928571428,5.0
51.083333333333336,30.083333333333332,50.051525000000005,31.049129166666663,5.0
24.258666666666667,39.032,30.886752,47.53485533333333,44.0
29.5,47.916666666666664,28.435633333333328,48.77758749999999,44.0
37.85928571428571,29.211428571428574,44.49087571428571,37.647549285714284,102.0
51.583333333333336,34.666666666666664,50.495632500000006,35.452416666666664,102.0
33.99857142857143,33.74071428571428,40.58693571428572,42.08799785714285,92.0
35.25,50.5,34.1499425,51.24594333333334,92.0
35.67857142857143,31.399285714285718,42.415909285714285,40.05274571428571,99.0
38.69230769230769,45.07692307692308,37.62920769230769,46.10985615384615,99.0
39.67142857142857,29.775000000000006,46.373057857142854,38.35507285714285,105.0
35.666666666666664,47.5,34.59898916666666,48.35024833333333,105.0
30.99421052631579,38.162631578947355,37.66997,46.892211578947375,120.0
32.416666666666664,56.583333333333336,31.324020833333332,57.35315166666666,120.0
26.297857142857147,49.05785714285714,32.78498571428572,57.19706285714285,64.0
37.083333333333336,52.0,35.95433333333334,52.652710833333344,64.0
41.492142857142845,27.687142857142856,48.356723571428574,36.602125,16.0
47.833333333333336,37.083333333333336,46.81223833333333,38.083642499999996,16.0
46.255714285714284,25.592142857142854,52.84924785714287,33.950045,24.0
61.083333333333336,27.25,59.984751666666675,28.000703333333334,24.0
48.89714285714286,23.255,55.847329285714295,32.34593071428572,14.0
56.916666666666664,28.916666666666668,55.92004500000001,29.995814999999997,14.0
36.21857142857143,31.372142857142855,42.88208714285714,39.87388285714287,83.0
43.53846153846154,41.07692307692308,42.45412153846154,42.0342376923077,83.0
36.784285714285716,27.544285714285714,43.501856428571436,36.15712214285714,87.0
46.166666666666664,37.0,45.10354666666667,37.86492916666666,87.0
24.312142857142856,51.46714285714286,30.728700714285715,59.461301428571424,82.0
41.333333333333336,48.666666666666664,40.184157500000005,49.25438916666667,82.0
36.197857142857146,32.57571428571429,42.80362,40.95875214285714,115.0
38.333333333333336,47.5,37.23824916666667,48.261965,115.0
31.41428571428571,34.44571428571428,38.16637785714285,43.12950142857143,56.0
33.75,50.583333333333336,32.69674833333334,51.4800525,56.0
28.32642857142857,39.572142857142865,35.01130785714285,48.117782857142856,93.0
33.25,50.833333333333336,32.1775325,51.66815249999999,93.0
34.785000000000004,34.830714285714286,41.43730142857144,43.30940071428572,17.0
42.76923076923077,42.92307692307692,41.68166307692308,43.86890000000001,17.0
40.919285714285714,28.71,47.84430642857143,37.749209285714294,10.0
47.23076923076923,36.30769230769231,46.221671538461536,37.5328853846154,10.0
39.16142857142857,32.43714285714286,45.85354571428571,40.99766785714286,21.0
53.333333333333336,35.833333333333336,52.262935,36.6748225,21.0
38.589999999999996,27.012857142857143,45.29495142857143,35.599759285714285,33.0
41.30769230769231,34.38461538461539,40.235273076923086,35.38437538461539,33.0
41.816428571428574,29.476428571428563,48.48325142857142,37.98496357142857,62.0
56.75,32.0,55.67237083333333,32.818196666666665,62.0
33.75071428571429,38.84714285714285,40.29094214285715,47.095487857142864,100.0
47.15384615384615,41.92307692307692,46.03403307692308,42.75409615384615,100.0
21.946428571428573,45.88928571428571,28.755512857142858,54.690205000000006,53.0
30.083333333333332,54.166666666666664,29.0463725,55.11586916666667,53.0
32.29571428571428,35.442142857142855,38.942367857142855,43.90922642857142,88.0
40.69230769230769,44.69230769230769,39.603116153846145,45.63234769230769,88.0
27.85285714285714,41.885,34.43765785714285,50.22495142857143,77.0
30.916666666666668,55.416666666666664,29.815589166666665,56.15932583333335,77.0
43.573571428571434,26.794285714285714,50.330685,35.488394285714286,36.0
50.583333333333336,34.75,49.53151416666666,35.65134249999999,36.0
